Description,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision or Location,Price,Category
Captivating Meditterenean-Inspired House and Lot For Sale in Bf Homes Parañaque,5,6,2,500,321,BF Homes Parañaque,29000000,House
"10% Down Payment Townhouse For Sale in Novaliches, Quezon City",3,3,1,105,56,Clemente Subd.,6000000,House
80 Sqm  3-Storey Townhomes for Sale Located In Las Pinas City Near Southmall,3,5,0,140,80,Private,7500000,House
Brand New Duplex House for Sale in Muntinlupa City,3,4,0,180,64.3,Katarungan Village,7300000,House
"Brand New 3 Storey Townhouse for Sale in Talon Singko, Las Piñas City",3,3,2,130,80,Metrocor B Homes,7500000,House
"4 Bedrooms Brand New Townhouse For Sale in Metrocor B, Las Piñas City",3,4,2,130,80,Metrocor B Homes,7000000,House
For Sale Pre Owned Well Maintained House and Lot BF Homes Parañaque City ,4,3,2,220,288,BF Homes,18000000,House
3 Bedrooms Duplex House unit for sale in BF Homes Parañaque City ,3,3,1,170,140,BF Homes Parañaque,15000000,House
Pre Owned Well Maintained House and Lot for sale in BF Homes Parañaque City,4,3,2,220,288,BF Homes Parañaque,18000000,House
"For Sale House and Lot Zapote Las Piñas, Townhouse 2Br with Garage",2,2,0,59,71,Rhonaville Townhomes,4500000,House
"Townhouse for Sale RFO near SM Fairview and MRT 7 in Kaligayahan, Quezon City",2,3,1,140,70,TS Cruz Subdivision,6600000,House
"M-R-3-1214- Acquired Property for Sale in Unit 702, 7/F, Barcelona Tower, Marquinton Residences, Gil Fernando Ave. cor Cinna St.Brgy. Sto. Ni",1,1,0,52,,,3640000,House
"L-R-2-36- Acquired Property for Sale in Unit M, 4/F, Cluster 3, Cambridge Village Condominium, No. 19 Casimiro Ynares Blvd. (East Bank Road), Brgy. San Andres, Cainta, Rizal - Retail",1,1,0,40,,,2400000,House
"2-Bedroom House and Lot for Sale in Happy Homes, Roxas City, Capiz",1,2,0,35,80,Happy Homes Capiz,1404000,House
Ayala Alabang Village 7Bedroom House and Lot in Muntinlupa,7,7,0,800,665,,230000000,House
"Chopin MR (with Balcony) 3BR SD House for Sale at Montebello in Calamba, Laguna | Aspire by Filinvest",2,3,1,113,180,Montebello,10510000,House
"L-R-1-987- Acquired Property for Sale at Lots 8 and 9, Block 8, Road Lot 7, Villa San Jose Subdivision, Brgy. Don Luis, San Jose, Batangas",1,1,0,119,70,,2484000,House
"L-R-1-1135- Acquired Property  for Sale in Lot 22-A, Maligaya St., Masagana Subdivision, Brgy. Tambo, Lipa City, Batangas",1,1,0,150,75,,2000000,House
Townhouse  2 Bedrooms with balconies for sale in Crosswinds Tagaytay,3,2,0,158,209,,16000000,House
"L-R-1-1085 Acquired Property for Sale in Psu-01-009413, Brgy. Road, Brgy. Labit Proper, Urdaneta City, Pangasinan",1,1,0,350,750,,8250000,House
"Foreclosed Property for Sale in Lot 8-B B Molave St. Doña Manuela Subdivision, Phase 7-C, Brgy. Pamplona 3, Las Piñas City",1,1,0,160,96,,3200000,House
For Sale Modern Design Spacious Two Storey Duplex House in Better Living ,4,4,2,195,120,Better Living Subdivision,11500000,House
"L-R-1-1136- Acquired Property  for Sale in Lot 168-B-5-B, Purok 7, Brgy. San Miguel / Poblacion, Majayjay, Laguna",1,1,0,160.66,109,,2254920,House
"L-R-1-1113: Acquired Property  for Sale in Lot 5, Block 3, Magnolia St., Happy Homes Fairview III, Brgy. Magang, Daet, Camarines Norte",1,1,0,116,155,Happy Homes Fairview III,2631000,House
4 Bedroom House and Lot Unit for Sale in Carmona Estates (Oakwood) ,2,4,0,104,88,Carmona Estates,4852556,House
Fully Renovated Beautiful House and Lot For Sale in BF Homes Parañaque,4,4,3,300,309,BF Homes Parañaque,25500000,House
"For Sale Duplex House Kapitolyo, Pasig City",3,3,3,400,145,,45000000,House
,1,1,0,,,,,House
80k per SQM Portofino South 4 Bedroom House and Lot for Sale in Las Piñas City,3,4,4,350,291,Portofino South,28000000,House
Airy Brand New Modern and Elegance Finish House and Lot for Sale,4,4,2,500,312,BF Homes Parañaque,30000000,House
Modern Corner 5BR House and Lot for Sale in BF Homes Parañaque,5,5,2,350,301,BF Homes Parañaque,36000000,House
new built graceful house and lot for sale in bf homes paranaque,3,4,2,240,182,BF Homes Parañaque,19850000,House
"Brand New Spacious 3 Bedrooms House for Sale in Basak, Lapu-Lapu",4,3,2,300,179,,18000000,House
5 bedroom House and Lot for sale in Antipolo City,5,5,0,321,240,,8500000,House
Brand New Modern House and Lot For Sale in Bf Resort Las Piñas,3,4,2,197,120,BF Resorts Village,9000000,House
3 Bedroom Townhouse (Inner) for sale at Amaia Series Nuvali in Laguna,2,3,0,65,60,Amaia Series Nuvali,5400000,House
"L-TH-1-177- Acquired Property for Sale in Lot 18, Block 8, Bergamo St., Camella Sorrento, Phase 2, Brgy. Panipuan, Mexico, Pampanga",1,1,0,46,48,,1201700,House
"M-R-2-6- Acquired Property for Sale in No. 24 (Lot 17-A), Princeton St., Provident Village, Brgy. Jesus Dela Peña, Marikina City - Retail",1,1,0,205,140,,5073000,House
"L-R-1-176- Acquired Property for Sale in Lot 2, Block 7, Won Street, Tierracon Homes III Subdivision, Brgy. Mambangnan, San Leonardo, Nueva Ecija - Retail",1,1,0,48,111,,948300,House
"Danessa 1BR House for Sale at Punta Altezza in Calamba, Laguna | Futura by Filinvest",1,1,0,64.2,88,Punta Altezza,2000000,House
4 Bedrooms House and Lot Pallas Athena Imus,3,4,1,88,125,Pallas Athena Executive Village,5900000,House
"For Sale Brand New 3 Bedroom, 2 Story House in Ciudad Esperanza, Davao City",2,3,0,75,100,Ciudad Esperanza,5000000,House
"N-R-3-6 - Acquired Property for Sale in Unit 723, 7/F, Piedmont Building , Palmetto Place Condominium, Brgy. Ma-a, Davao City, Davao del Sur",1,1,0,25,,,1625000,House
For Sale: Chateaux De Paris 4Bedroom Furnished House and Lot in Silang Cavite,5,4,2,263,300,Chateaux De Paris,28000000,House
"N-R-3-6 - Acquired Property for Sale in Unit 723, 7/F, Piedmont Building , Palmetto Place Condominium, Brgy. Ma-a, Davao City, Davao del Sur",1,1,0,25,,,1625000,House
"Brand New House and Lot For Sale in La Joya Santa Rosa, Laguna",1,2,0,45,83,La Joya Subdivision,3080000,House
Single-detached Contemporary Modern Zen House and Lot in BF Homes Parañaque ,3,3,3,300,204,BF Homes Parañaque,18750000,House
Single House and Lot in Pilar Village Las Pinas City,3,4,2,90,120,Pilar Village,7000000,House
"Rush Sale! Contemporary Spanish Style Home w/ Big Lot Area in Talisay City,Cebu",4,5,0,309,2080,Lemonville Subdivision,36000000,House
RFO Parañaque Single Detached  4 bedrooms with individual CR. ,4,4,0,180,,,13000000,House
"5BR House for Sale in Forbes Park, Makati - RS0056982",5,5,10,1644,2244,,919999999,House
"For Sale Brand New Modern House in Lapu-Lapu, Cebu inside Subdivision",2,4,0,120,98,Pacific Grand Villa,7000000,House
"4-Storey House for Sale in Anvaya Cove with Mountain Sea view in Morong,Bataan",5,4,4,500,706,Anvaya Cove,80000000,House
Brand New Single House And Lot with Bright Interior For Sale in Parañaque,4,4,2,270,150,Multinational,24000000,House
Brand New Triplex House and Lot For Sale in Pilar Village Las Piñas City,4,4,1,125,80,Pilar Village,7900000,House
"V-R-2-42- Acquired Property for Sale in Lots 10 and 11, Block 3, Champaca and Narra Sts., Palisades Subdivision, Brgy. Estefania, Bacolod City, Negros Occidental - Retail",1,1,0,328,518,,9509600,House
Contemporary Two (2) Storey Elegant Modern House in BF Homes Parañaque City,4,4,2,320,288,BF HOMES,22000000,House
4Bedrooms For Sale in Taytay Rizal..Overlooking View Manila..Flood free...,3,4,2,108,152,,9000000,House
"5 Bedrooms For sale!! in Antipolo Rizal...Overlooking View Manila, with Pool..",5,5,10,800,861,,120000000,House
4 Bedroom Spacious House & Lot in Subdivision,3,4,0,199,143,Metropolis Subdivision,11700000,House
"L-R-1-1087 Acquired Property for Sale in Lot 12-B, Block 7 (PSD-03-140551), Road Lot 6 corner Road Lot 7, St. Bernadette Subdivision, Brgy. Sto. Rosario & Sto. Cristo / Sto. Rosario, Capas, Tarlac",1,1,0,101,165,,990000,House
For Sale Fully Furnished 4-Bedroom House and Lot located in Casili Consolacion.,4,4,3,300,385,,14800000,House
"L-R-1-1127- Acquired Property for Sale in Lots 20, 22, 24 and 25, Block 9, Psd-03-150667, Taranto St. corner Reggio Calabria St., Villagio Real, Brgy. Calibutbut, Bacolor & Telabastagan, San Fernando City, Pampanga",1,1,0,290,601,,12350000,House
"L-R-1-447- Acquired Property for Sale in Lots 2 and 3, Block 36, Sampaguita St., Villa de Primarosa , Brgy. Buhay na Tubig, Imus, Cavite - Retail",1,1,0,133.1,106,,3563000,House
"L-R-1-1100-Acquired Property for Sale in Lots 1 and 3, Block 8, Thomas Ave., corner Sta. Maria St., St. Thomas Subdivision, Brgy. Kanlurang Mayao, Lucena City, Quezon",1,1,0,196,151,,4551600,House
"V-R-2-104:  Acquired Property  for Sale in Lot 12, Block 8, Kensington St., Parc Regency Residences C, Brgy. Balabag, Pavia, Iloilo",1,1,0,80,120,,2500000,House
"House and Lot at Acropolis at Golden Horizon in Trece Martires, Cavite (Athena)",2,3,0,90,112.5,Acropolis at Golden Horizon,5121296,House
"Foreclosed Property for Sale in Lot 14-B No.1036 ,Samar St Brgy 563 Zone 55 Balic Balic Sampaloc District Manila City",1,1,0,420,75,,13500000,House
"L-R-1-1125- Acquired Property for Sale in Lot 1, Block 3, Huelva St., Camella Tarlac, Phase 1, Brgy. Maliwalo, Tarlac City, Tarlac",1,1,0,97,142,Camella Tarlac Phase 1,3789500,House
"L-R-1-1030- Acquired Property for Sale in Lot 12, Block 1, Trinidad Valley St., Monte Vista Subdivision, Brgy. Sungay, Tagaytay City, Cavite",1,1,0,331.6,300,,14858200,House
,1,1,0,,,,,House
4 Bedroom House and Lot Unit for sale at Camella Dos Rios Trails (Dana Model),3,4,0,85,88,Camella Dos Rios Trails,5744000,House
Brand New Modernized Design House and Lot For Sale in BF Homes Parañaque,4,4,2,285,189,BF Homes Parañaque,18000000,House
For Sale Brand New Modern Design Townhouse And Lot In Better Living Parañaque ,2,3,1,70,50,Better Living Subdivision,4100000,House
"Foreclosed Property for Sale in Lot 14-B No.1036 ,Samar St Brgy 563 Zone 55 Balic Balic Sampaloc District Manila City",1,1,0,420,75,,13500000,House
"400 sqm 3-Bedroom Bungalow in Mapayapa Village 3, Pasong Tamo in Quezon City ",3,3,2,400,400,Mapayapa Village - Quezon City,22000000,House
"L-R-2-30- Acquired Property for Sale in Unit F, 4/F, Grand Quartier 2, Crosswinds Subdivision, Brgy. Iruhin Central, Tagaytay City, Cavite - Retail",1,1,0,48,,,5280000,House
"L-R-1-1148:  Acquired Property  for Sale in Lot 17, Block 10, Goldoni St., corner Lumina St., Mille Luce Subdivision, Brgy. Balimbing / San Roque, Antipolo City, Rizal",1,1,0,127.46,158,,6300000,House
"L-R-1-1120- Acquired Property for Sale in Lot 6, Block 5, Pearl St., Stoneridge Ville, Brgy. Bigaa, Cabuyao City, Laguna",1,1,0,132,118,Stoneridge Ville,3931000,House
"M-R-3-405- Acquired Property for Sale in Unit 507, 5/F, Emerald Building 2, Fini Homes Condominium, No. 80, Ramon Delfin St., Brgy. Marulas, Valenzuela City - Sub",1,1,0,51.32,,,2804160,House
Muntinlupa Single House and Lot,3,3,0,100,120,,7150000,House
"House & Lot For Sale in Brentville International Community Biñan City, Laguna",3,3,0,200,326,Brentville International Community,17000000,House
"Captivating Modern 3-Storey House and Lot For Sale in San Antonio, Las Piñas ",3,4,1,155,60,,6528000,House
"House and Lot 4 bedrooms in Banawa, Cebu, Cebu for sale",3,4,0,133,102,Ridges in Banawa,18795600,House
"Woodstate Village Molino Road 2 Bedroom House For Sale in Bacoor, Cavite",2,2,0,80,40,Woodstate,2500000,House
Briana Single Attached with 4 Bedrooms Glenbrook at Lancaster New City,3,4,2,110,100,Glenbrook at Lancaster New City,40000,House
Luxury House and Lot for Sale in Fairmont Hill with 6 Bedrooms and 6 CG PH2317,10,6,6,1000,3213,Fairmont Hills,90000000,House
,1,1,0,,,,,House
"3 Bedroom, 2 Toilet & Bath House and Lot For Sale in Marikina ",2,3,2,150,410,,5000000,House
For Sale: Tagaytay Country Homes 4 Bedroom House and Lot in Cavite,3,4,1,360,207,Tagaytay Country Homes 3,16500000,House
"M-C-2-42- Acquired Property for Sale in Unit M-H, Burgundy Transpacific Place Condominium, No. 2444-A Taft Ave.,, Brgy. 727, Zone 79, Malate, Manila - Retail",1,1,0,31.09,,,2798100,House
"L-R-1-800- Acquired Property for Sale in Lot 3, Block 36, Metrogate Meycauyan II Subdivision, Phase 1, Brgy. Loma de Gato, Marilao, Bulacan - Retail",1,1,0,228,165,,3970200,House
"Hot Spring Private Resort for sale in Los Baños, Laguna",4,4,0,500,934,,20000000,House
"L-R-1-762- Acquired Property for Sale in Lot 4, Block 6, Magnolia Street, Venzon Subdivision, Brgy. Cupang North, Balanga City, Bataan - Retail",1,1,0,282,240,,5424600,House
Magallanes Village 5 Bedroom House And Lot With Pool For Sale,4,5,0,332,353,Magallanes Village,135000000,House
"M-R-3-351- Acquired Property for Sale in Parking Slot No. 7L-20, 7/F,  Pearl of the Orient (Formerly Embassy Pointe Tower) No. 1240,  Roxas Blvd., Ermita, Manila - Retail",1,1,0,12.5,,,700000,House
"2 Storey Modern House for Sale at Stonecrest Subdivision, San Pedro, Laguna",4,5,4,350,378,Stonecrest Subdivision,22000000,House
"3 Bedroom Townhouse Unit at Bloomfield Heights in Antipolo, Rizal (Inner)",2,3,0,72,48,Bloomfield Heights,3300000,House
3 BR Single Attached House and Lot in BF Resort Village Las Piñas City,5,3,2,255,185,BF RESORT VILLAGE,23000000,House
"Scout Area Brand New Townhouse For Sale in a very Prime Area, Quezon City",4,3,2,245,110,,28000000,House
"Contemporary Two Storey Elegant Modern House for sale in BF Homes, Parañaque",3,4,2,320,288,BF Homes Parañaque,22000000,House
Fully Renovated 2 Storey Single Attached House In Better Living Paranaque,3,3,1,130,80,Better Living Subdivision,10500000,House
"Foreclosed Property for Sale in Block 9 , Lot 19 Morocco St., La Brezza Subdivision., Brgy. Pantok Meycauayan Bulacan",1,1,0,110.7,75,,1310000,House
"For sale Brand New Classic 2 Storey House and Lot Katarungan Village, Muntinlupa",4,6,2,210,241,Katarungan Village,16000000,House
Townhouse for Sale Located at Las Palmas Phase 8 in Sta. Maria Bulacan ,1,2,0,46,78,Las Palmas Phase 8,2635000,House
Brand New House in Greenwoods Executive Village Pasig for Sale,3,3,0,200,120,Greenwoods Executive Village,14000000,House
Fully Renovated 2 Storey Single Attached House In Better Living Paranaque,3,3,1,130,80,Better Living Subdivision,10500000,House
"Foreclosed Property for Sale in Block 9 , Lot 19 Morocco St., La Brezza Subdivision., Brgy. Pantok Meycauayan Bulacan",1,1,0,110.7,75,,1310000,House
For Sale Modern Design Brand New Triplex House and Lot in Las Piñas,3,3,1,160,98,BF Resorts Village,7400000,House
Monterrazas Prime Cebu House for Sale,5,4,0,527,354,Monerrazas Prime,46176525,House
For Sale Two Storey Brand New House in BF Homes ,4,5,4,450,340,BF HOMES,41500000,House
"For Sale: Rent To Own @ 26,666/mos ,2 BR Camella Cerritos Daang Hari, Bacoor",1,2,1,60,70,Camella Cerritos,4200000,House
"Diana 2BR SA House for Sale at New Leaf in Trece Martires, Cavite | Futura by Filinvest",1,2,1,37.3,70,New Leaf,1700000,House
"V-R-2-4- Acquired Property for Sale in Lot 13, Block 13, Mahogany St., Pacific Grand Villas Subdivision, Brgy. Marigondon/Subabasbas, Lapu-Lapu City, Cebu - Retail",1,1,0,145.68,111.9,,4184196,House
"Cozy Brand new house and lot for sale in Filinvest Heights, Quezon City",4,4,2,375,228,Filinvest Heights Subdivision,19700000,House
VergonVille Subdivision 6BR Bungalow House for Sale in Las Piñas City- DS881794 ,2,6,0,150,192,VergonVille Subdivision,9000000,House
"M-R-3-285- Acquired Property for Sale in Unit 410 (D-10), 4/F, Building 5, Waterfun Condominium, West Service Road, Brgy. Sucat, Muntinlupa City - Sub",1,1,0,50.18,,,865605,House
"L-R-1-882- Acquired Property for Sale in Lot 34, Block 22, Village of St. Jude, Phase 2-D, Brgy. Ibabang Mayao / Mayao Crossing, Lucena City, Quezon",1,1,0,108,89,,2163500,House
Amber 2BR Townhouse Inner Unit for Sale at Futura Homes Zamboanga | Futura by Filinvest,1,2,0,40.32,50.4,Futura Homes Zamboanga,1517128,House
"Foreclosed Property for Sale in Block 4, Lot 1 Azucena Compound, Barangay Fortune (Formerly Brgy. Parang) Marikina City",1,1,0,55,35,,1705000,House
3 bedroom Townhouse For Sale in PHASE 4 Greenland Executive Village Cainta Rizal,2,3,1,82,80,Greenland Cainta,4000000,House
New Townhouse for sale in Don Antonio Heights Commonwealth Quezon City ,3,3,2,170,42,Commonwealth,12500000,House
"L-S-5-201604-22- Acquired Property for Sale in Block 1, Lot 41, Kensington Village, Lancaster New City, General Trias, Cavite - Sub",1,1,0,60,50,Kensington Village,2150500,House
"L-R-1-442- Acquired Property for Sale in Lot 16, Block 19, Amerigo St. (Road Lot 30), Camella Sorrento Subdivision, Brgy. Panipuan, Mexico, Pampanga - Retail",1,1,0,114,132,,3144000,House
"Foreclosed Property for Sale in Block 3, Lot 23 Along Rd Lot 2, Camella Lessandra San Jose Del Monte, Kaypian Sto. Cristo,  San Jose Del Mon",1,1,0,65,99,,4650000,House
"L-R-1-1073-Acquired Property for Sale in  No. 18 (Lot 2, Block 2), Windy Lane St., Vista Verde Country Homes, Brgy. Muntindilaw, Antipolo, Rizal",1,1,0,257,180,,5989300,House
"L-R-1-952- Acquired Property for Sale in Lots 15, 16 a& 17-B, Block 6, Catleya St., Betzaida Village, Brgy. Dumantay, Batangas City, Batangas",1,1,0,136,166.75,,3492550,House
For Sale 3 Bedroom Townhouse in Quezon City,2,3,1,82.25,47,Beatrice Townhomes,3950000,House
"L-S-5-201604-38 - Acquired Property for Sale in Lot 3, Block 2, Kensington Village, Lancaster New City, Phase 3, Brgy. Navarro, General Trias, Cavite",1,1,0,60,50,,2081500,House
2 Bedroom House and Lot Unit for sale at Camella Calamba (Bella Model),2,2,0,53,88,Camella Calamba,4435000,House
Las Piñas 3 Bedroom Single House and Lot  for sale,3,3,1,93,155,Fatima subdivision,7500000,House
"L-R-1-954 - Acquired Property for Sale in Lot 5, Block 4, Portico St., Camella Batangas, Phase 1, Brgy. Alangilan, Batangas City, Batangas",1,1,0,96,134,,5500800,House
"L-R-1-1043 - Acquired Property for Sale in Lots 16 and 18, Block 8, Tulips St., Betzaida Village, Brgy. Dumantay, Batangas City, Batangas",1,1,0,46,133,,2262800,House
"L-R-1-122- Acquired Property for Sale in Lot 4, Block 7, Narra Street, Montserrat Subdivision, Brgy. Santo Angel Norte & Sur/ Sto. Angel Central, Sta. Cruz, Laguna - Retail",1,1,0,236,239,,3324500,House
"Foreclosed Property for Sale in Block 2, Lot 31 Ravena St., Camella Bulakan, Bry. Matungao, Bulakan, Bulacan",1,1,0,66,48,,2180000,House
"L-S-5-201604-27- Acquired Property for Sale in Block 6, Lot 17, Kensington Village, Lancaster New City, General Trias, Cavite - Sub",1,1,0,60,50,Kensington Village,2150500,House
"Brahms Duplex 3BR House for Sale at Aria in Cainta, Rizal | Aspire by Filinvest",3,3,2,91.92,112,Aria,8106200,House
"House and Lot for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal",2,3,0,93,155,Sunrise Alexa Subdivision,5670000,House
"Tulip - American New England 3BR SA House for Sale at Ashton Fields in Calamba, Laguna | Aspire by Filinvest",3,3,1,84.19,110,Ashton Fields,5650000,House
"Foreclosed Property for Sale in Block 35 , Lot 24-A (Unit 228Ta) Riverside Drive, Provident Village, Brgy. Dela Peña, Marikina",1,1,0,183,114,,5106000,House
"L-R-1-373- Acquired Property for Sale in Lot 38, Block 10, Road Lot 3, Celina Homes Technopark Subdivision, Brgy. Loma, Bi",1,1,0,115,63,,2915650,House
"House and Lot for sale at Sunrise Alexa Subdivision Hills in Antipolo, Rizal",2,3,0,116,164,Sunrise Alexa Subdivision,6610000,House
"L-TH-1-11- Acquired Property for Sale in Block 4, Lot 44, Summerfield Villas,  Brgy. San Juan, Taytay, Rizal - Sub",1,1,0,74,45,,2234450,House
"M-R-3-432- Acquired Property for Sale in Unit 8B, 8/F, El Jardin Del Presidente 2 Condominium, No.83, Sgt. Esquerra St., Brgy. South Triangle, Quezon City - Retail",1,1,0,43.5,,,3915000,House
